epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3868.54,1.12925,0.90402,1.49744,0.90764,0.98408,0.98591,0.7077,1.0194,0.75868,1.52427,0.0008516,0.0008516,0.0008516
60,3919.49,1.13499,0.90952,1.52678,1,0.96743,0.995,0.75015,0.99995,0.7263,1.49632,0.0008318,0.0008318,0.0008318
61,3971.12,1.09563,0.9033,1.50416,0.93906,1,0.995,0.72688,0.99072,0.64718,1.52192,0.000812,0.000812,0.000812
62,4022.36,1.14034,0.89702,1.51021,0.97991,1,0.995,0.69491,1.05169,0.6862,1.55794,0.0007922,0.0007922,0.0007922
63,4074.07,1.10489,0.88036,1.48833,0.97664,1,0.995,0.74842,1.03142,0.69291,1.54301,0.0007724,0.0007724,0.0007724
64,4127.22,1.1011,0.91403,1.49496,0.9837,1,0.995,0.70137,1.10827,0.67323,1.56426,0.0007526,0.0007526,0.0007526
65,4178.17,1.07036,0.84869,1.46251,0.90583,1,0.995,0.69292,1.11427,0.72773,1.56369,0.0007328,0.0007328,0.0007328
66,4228.95,1.08149,0.85574,1.45938,0.84284,1,0.96773,0.66317,1.2295,0.75954,1.65846,0.000713,0.000713,0.000713
67,4279.62,1.05426,0.84283,1.49149,0.89885,1,0.97682,0.69629,1.07444,0.6607,1.50541,0.0006932,0.0006932,0.0006932
68,4329.99,1.02621,0.82794,1.40713,0.98403,1,0.995,0.71731,1.04459,0.66497,1.50326,0.0006734,0.0006734,0.0006734
69,4380.16,1.02867,0.80478,1.40933,1,0.98444,0.995,0.74177,0.96442,0.63594,1.45766,0.0006536,0.0006536,0.0006536
70,4430.3,1.07052,0.83547,1.48722,0.95523,0.8,0.96192,0.65939,1.0383,0.72143,1.51334,0.0006338,0.0006338,0.0006338
71,4480.56,1.02905,0.8004,1.45101,0.93345,1,0.995,0.65041,1.16691,0.73695,1.65773,0.000614,0.000614,0.000614
72,4530.67,1.04551,0.81283,1.46346,0.95334,1,0.995,0.67813,1.16983,0.71148,1.66361,0.0005942,0.0005942,0.0005942
73,4581,1.02752,0.81859,1.44554,0.99088,1,0.995,0.65921,1.13972,0.63655,1.60468,0.0005744,0.0005744,0.0005744
74,4631.23,1.00158,0.79238,1.42387,0.9907,1,0.995,0.66335,1.104,0.65147,1.57678,0.0005546,0.0005546,0.0005546
75,4681.02,0.98448,0.7941,1.43828,0.98937,1,0.995,0.71507,1.05857,0.62175,1.59126,0.0005348,0.0005348,0.0005348
